Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
17	79670404	79688042	SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10 [Source:HGNC Symbol;Acc:10980]	protein_coding	ENSG00000183048
14	105515728	105531782	GPR132	G protein-coupled receptor 132 [Source:HGNC Symbol;Acc:17482]	protein_coding	ENSG00000183484
22	29279580	29453475	ZNRF3	zinc and ring finger 3 [Source:HGNC Symbol;Acc:18126]	protein_coding	ENSG00000183579
22	20004537	20053449	TANGO2	transport and golgi organization 2 homolog (Drosophila) [Source:HGNC Symbol;Acc:25439]	protein_coding	ENSG00000183597
8	125463048	125474391	TRMT12	tRNA methyltransferase 12 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26091]	protein_coding	ENSG00000183665
16	2022038	2032934	TBL3	transducin (beta)-like 3 [Source:HGNC Symbol;Acc:11587]	protein_coding	ENSG00000183751
1	226418850	226497570	LIN9	lin-9 homolog (C. elegans) [Source:HGNC Symbol;Acc:30830]	protein_coding	ENSG00000183814
22	19510547	19515068	CLDN5	claudin 5 [Source:HGNC Symbol;Acc:2047]	protein_coding	ENSG00000184113
16	2261998	2264808	PGP	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:8909]	protein_coding	ENSG00000184207
11	67370351	67374177	C11orf72	chromosome 11 open reading frame 72 [Source:HGNC Symbol;Acc:26915]	protein_coding	ENSG00000184224
12	6728001	6745613	LPAR5	lysophosphatidic acid receptor 5 [Source:HGNC Symbol;Acc:13307]	protein_coding	ENSG00000184574
17	75276651	75496678	sep-09	septin 9 [Source:HGNC Symbol;Acc:7323]	protein_coding	ENSG00000184640
17	43298811	43324687	FMNL1	formin-like 1 [Source:HGNC Symbol;Acc:1212]	protein_coding	ENSG00000184922
9	139844003	139849949	LCN12	lipocalin 12 [Source:HGNC Symbol;Acc:28733]	protein_coding	ENSG00000184925
8	145539954	145550573	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:2843]	protein_coding	ENSG00000185000
5	191626	195468	LRRC14B	leucine rich repeat containing 14B [Source:HGNC Symbol;Acc:37268]	protein_coding	ENSG00000185028
14	105190523	105213662	ADSSL1	adenylosuccinate synthase like 1 [Source:HGNC Symbol;Acc:20093]	protein_coding	ENSG00000185100
22	31518717	31530682	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:8956]	protein_coding	ENSG00000185133
14	103589779	103603776	TNFAIP2	tumor necrosis factor, alpha-induced protein 2 [Source:HGNC Symbol;Acc:11895]	protein_coding	ENSG00000185215
17	79285074	79304474	TMEM105	transmembrane protein 105 [Source:HGNC Symbol;Acc:26794]	protein_coding	ENSG00000185332
22	29702572	29708774	GAS2L1	growth arrest-specific 2 like 1 [Source:HGNC Symbol;Acc:16955]	protein_coding	ENSG00000185340
19	4639530	4655580	TNFAIP8L1	tumor necrosis factor, alpha-induced protein 8-like 1 [Source:HGNC Symbol;Acc:28279]	protein_coding	ENSG00000185361
3	49840687	49842463	FAM212A	family with sequence similarity 212, member A [Source:HGNC Symbol;Acc:32480]	protein_coding	ENSG00000185614
4	699537	764428	PCGF3	polycomb group ring finger 3 [Source:HGNC Symbol;Acc:10066]	protein_coding	ENSG00000185619
3	49209044	49213917	KLHDC8B	kelch domain containing 8B [Source:HGNC Symbol;Acc:28557]	protein_coding	ENSG00000185909
9	137208944	137332431	RXRA	retinoid X receptor, alpha [Source:HGNC Symbol;Acc:10477]	protein_coding	ENSG00000186350
1	16345370	16360545	CLCNKA	chloride channel, voltage-sensitive Ka [Source:HGNC Symbol;Acc:2026]	protein_coding	ENSG00000186510
11	72396114	72504644	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:16925]	protein_coding	ENSG00000186635
3	50330262	50336899	HYAL3	hyaluronoglucosaminidase 3 [Source:HGNC Symbol;Acc:5322]	protein_coding	ENSG00000186792
1	1146706	1149518	TNFRSF4	tumor necrosis factor receptor superfamily, member 4 [Source:HGNC Symbol;Acc:11918]	protein_coding	ENSG00000186827
19	8387468	8408146	KANK3	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:24796]	protein_coding	ENSG00000186994
19	45312328	45324673	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:6722]	protein_coding	ENSG00000187244
15	71389291	72075722	THSD4	thrombospondin, type I, domain containing 4 [Source:HGNC Symbol;Acc:25835]	protein_coding	ENSG00000187720
17	76142434	76162258	C17orf99	chromosome 17 open reading frame 99 [Source:HGNC Symbol;Acc:34490]	protein_coding	ENSG00000187997
2	242792033	242801060	PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:8760]	protein_coding	ENSG00000188389
12	122150658	122220907	TMEM120B	transmembrane protein 120B [Source:HGNC Symbol;Acc:32008]	protein_coding	ENSG00000188735
1	9648932	9674935	TMEM201	transmembrane protein 201 [Source:HGNC Symbol;Acc:33719]	protein_coding	ENSG00000188807
9	140149625	140167998	NELFB	negative elongation factor complex member B [Source:HGNC Symbol;Acc:24324]	protein_coding	ENSG00000188986
7	75616155	75623977	TMEM120A	transmembrane protein 120A [Source:HGNC Symbol;Acc:21697]	polymorphic_pseudogene	ENSG00000189077
17	4891425	4900905	INCA1	inhibitor of CDK, cyclin A1 interacting protein 1 [Source:HGNC Symbol;Acc:32224]	protein_coding	ENSG00000196388
7	150065879	150109558	ZNF775	zinc finger protein 775 [Source:HGNC Symbol;Acc:28501]	protein_coding	ENSG00000196456
20	62588055	62680113	ZNF512B	zinc finger protein 512B [Source:HGNC Symbol;Acc:29212]	protein_coding	ENSG00000196700
9	129089128	129269320	MVB12B	multivesicular body subunit 12B [Source:HGNC Symbol;Acc:23368]	protein_coding	ENSG00000196814
17	79876146	79885590	MAFG	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G [Source:HGNC Symbol;Acc:6781]	protein_coding	ENSG00000197063
11	65383244	65404910	PCNXL3	pecanex-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18760]	protein_coding	ENSG00000197136
9	140119087	140120763	C9orf169	chromosome 9 open reading frame 169 [Source:HGNC Symbol;Acc:30529]	protein_coding	ENSG00000197191
1	26485511	26489119	FAM110D	family with sequence similarity 110, member D [Source:HGNC Symbol;Acc:25860]	protein_coding	ENSG00000197245
11	68658744	68671303	MRPL21	mitochondrial ribosomal protein L21 [Source:HGNC Symbol;Acc:14479]	protein_coding	ENSG00000197345
19	55987699	55995854	ZNF628	zinc finger protein 628 [Source:HGNC Symbol;Acc:28054]	protein_coding	ENSG00000197483
6	132129156	132216295	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:3356]	protein_coding	ENSG00000197594
2	162848751	162931052	DPP4	dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:3009]	protein_coding	ENSG00000197635
9	140145713	140147934	C9orf173	chromosome 9 open reading frame 173 [Source:HGNC Symbol;Acc:37285]	protein_coding	ENSG00000197768
16	1823208	1831709	EME2	essential meiotic structure-specific endonuclease subunit 2 [Source:HGNC Symbol;Acc:27289]	protein_coding	ENSG00000197774
17	1367392	1396106	MYO1C	myosin IC [Source:HGNC Symbol;Acc:7597]	protein_coding	ENSG00000197879
19	11531272	11546603	CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:28303]	protein_coding	ENSG00000198003
9	140172201	140177093	TOR4A	torsin family 4, member A [Source:HGNC Symbol;Acc:25981]	protein_coding	ENSG00000198113
22	36002811	36033998	MB	myoglobin [Source:HGNC Symbol;Acc:6915]	protein_coding	ENSG00000198125
19	58739960	58788815	ZNF544	zinc finger protein 544 [Source:HGNC Symbol;Acc:16759]	protein_coding	ENSG00000198131
14	67913801	68000456	TMEM229B	transmembrane protein 229B [Source:HGNC Symbol;Acc:20130]	protein_coding	ENSG00000198133
20	3170996	3185331	DDRGK1	DDRGK domain containing 1 [Source:HGNC Symbol;Acc:16110]	protein_coding	ENSG00000198171
3	49067140	49131796	QRICH1	glutamine-rich 1 [Source:HGNC Symbol;Acc:24713]	protein_coding	ENSG00000198218
14	53196898	53241716	STYX	serine/threonine/tyrosine interacting protein [Source:HGNC Symbol;Acc:11447]	protein_coding	ENSG00000198252
1	45140364	45191263	C1orf228	chromosome 1 open reading frame 228 [Source:HGNC Symbol;Acc:34345]	protein_coding	ENSG00000198520
6	36839646	36896740	C6orf89	chromosome 6 open reading frame 89 [Source:HGNC Symbol;Acc:21114]	protein_coding	ENSG00000198663
22	31500758	31516055	SELM	Selenoprotein M  [Source:UniProtKB/Swiss-Prot;Acc:Q8WWX9]	protein_coding	ENSG00000198832
1	153901977	153919172	DENND4B	DENN/MADD domain containing 4B [Source:HGNC Symbol;Acc:29044]	protein_coding	ENSG00000198837
2	220074494	220094439	ATG9A	autophagy related 9A [Source:HGNC Symbol;Acc:22408]	protein_coding	ENSG00000198925
17	45771447	45789416	TBKBP1	TBK1 binding protein 1 [Source:HGNC Symbol;Acc:30140]	protein_coding	ENSG00000198933
14	105155943	105185942	INF2	inverted formin, FH2 and WH2 domain containing [Source:HGNC Symbol;Acc:23791]	protein_coding	ENSG00000203485
9	139632619	139642905	LCN6	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H7C1C5]	nonsense_mediated_decay	ENSG00000204003
6	43474707	43478424	LRRC73	leucine rich repeat containing 73 [Source:HGNC Symbol;Acc:21375]	protein_coding	ENSG00000204052
6	33551515	33556803	GGNBP1	gametogenetin binding protein 1 (pseudogene) [Source:HGNC Symbol;Acc:19427]	protein_coding	ENSG00000204188
6	31830969	31846823	SLC44A4	solute carrier family 44, member 4 [Source:HGNC Symbol;Acc:13941]	protein_coding	ENSG00000204385
6	31825436	31830683	NEU1	sialidase 1 (lysosomal sialidase) [Source:HGNC Symbol;Acc:7758]	protein_coding	ENSG00000204386
6	31745295	31763730	VARS	valyl-tRNA synthetase [Source:HGNC Symbol;Acc:12651]	protein_coding	ENSG00000204394
6	31733367	31745108	VWA7	von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:13939]	protein_coding	ENSG00000204396
6	29624758	29640149	MOG	myelin oligodendrocyte glycoprotein [Source:HGNC Symbol;Acc:7197]	protein_coding	ENSG00000204655
1	1361508	1363167	TMEM88B	transmembrane protein 88B [Source:HGNC Symbol;Acc:37099]	protein_coding	ENSG00000205116
22	51007290	51017899	CPT1B	carnitine palmitoyltransferase 1B (muscle) [Source:HGNC Symbol;Acc:2329]	protein_coding	ENSG00000205560
22	50747459	50765489	DENND6B	DENN/MADD domain containing 6B [Source:HGNC Symbol;Acc:32690]	protein_coding	ENSG00000205593
16	2303117	2318413	RNPS1	RNA binding protein S1, serine-rich domain [Source:HGNC Symbol;Acc:10080]	protein_coding	ENSG00000205937
12	48147699	48176536	SLC48A1	solute carrier family 48 (heme transporter), member 1 [Source:HGNC Symbol;Acc:26035]	protein_coding	ENSG00000211584
9	140114707	140116033	RNF208	ring finger protein 208 [Source:HGNC Symbol;Acc:25420]	protein_coding	ENSG00000212864
14	105952654	105955284	CRIP1	cysteine-rich protein 1 (intestinal) [Source:HGNC Symbol;Acc:2360]	protein_coding	ENSG00000213145
11	65405568	65418401	SIPA1	signal-induced proliferation-associated 1 [Source:HGNC Symbol;Acc:10885]	protein_coding	ENSG00000213445
3	9849770	9896822	TTLL3	tubulin tyrosine ligase-like family, member 3 [Source:HGNC Symbol;Acc:24483]	protein_coding	ENSG00000214021
11	1968508	2005752	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:10322]	protein_coding	ENSG00000214026
11	842808	867116	TSPAN4	tetraspanin 4 [Source:HGNC Symbol;Acc:11859]	protein_coding	ENSG00000214063
9	139876356	139880862	LCNL1	lipocalin-like 1 [Source:HGNC Symbol;Acc:34436]	protein_coding	ENSG00000214402
3	50325163	50330349	IFRD2	interferon-related developmental regulator 2 [Source:HGNC Symbol;Acc:5457]	protein_coding	ENSG00000214706
12	7074490	7079988	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:30306]	protein_coding	ENSG00000215021
11	64067863	64072242	TEX40	testis expressed 40 [Source:HGNC Symbol;Acc:19231]	protein_coding	ENSG00000219435
11	61640991	61659523	FADS3	fatty acid desaturase 3 [Source:HGNC Symbol;Acc:3576]	protein_coding	ENSG00000221968
17	62075711	62081664	C17orf72	chromosome 17 open reading frame 72 [Source:HGNC Symbol;Acc:25673]	protein_coding	ENSG00000224383
19	50191921	50193832	ADM5	adrenomedullin 5 (putative) [Source:HGNC Symbol;Acc:27293]	protein_coding	ENSG00000224420
17	79780287	79791178	FAM195B	family with sequence similarity 195, member B [Source:HGNC Symbol;Acc:28007]	protein_coding	ENSG00000225663
14	105864916	105916443	TEX22	testis expressed 22 [Source:HGNC Symbol;Acc:40026]	protein_coding	ENSG00000226174
6	33246885	33257304	WDR46	WD repeat domain 46 [Source:HGNC Symbol;Acc:13923]	protein_coding	ENSG00000227057
16	3194220	3199964	CASP16	caspase 16, apoptosis-related cysteine peptidase (putative) [Source:HGNC Symbol;Acc:27290]	protein_coding	ENSG00000228146
5	138727635	138730885	PROB1	proline-rich basic protein 1 [Source:HGNC Symbol;Acc:41906]	protein_coding	ENSG00000228672
6	33239787	33244287	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:10401]	protein_coding	ENSG00000231500
6	33244917	33252609	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 [Source:HGNC Symbol;Acc:919]	protein_coding	ENSG00000235863
4	106473777	106629250	ARHGEF38	Rho guanine nucleotide exchange factor (GEF) 38 [Source:HGNC Symbol;Acc:25968]	protein_coding	ENSG00000236699
7	30893010	30965131	AQP1	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:633]	protein_coding	ENSG00000240583
12	58003963	58013162	ARHGEF25	Rho guanine nucleotide exchange factor (GEF) 25 [Source:HGNC Symbol;Acc:30275]	protein_coding	ENSG00000240771
8	22457114	22461663	C8orf58	chromosome 8 open reading frame 58 [Source:HGNC Symbol;Acc:32233]	protein_coding	ENSG00000241852
3	50333833	50336852	NAT6	N-acetyltransferase 6 (GCN5-related) [Source:HGNC Symbol;Acc:30252]	protein_coding	ENSG00000243477
3	52009066	52023213	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:177]	protein_coding	ENSG00000243989
1	20978270	20988000	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) [Source:HGNC Symbol;Acc:2728]	protein_coding	ENSG00000244038
9	139685807	139687709	TMEM141	transmembrane protein 141 [Source:HGNC Symbol;Acc:28211]	protein_coding	ENSG00000244187
8	22446787	22459597	AC037459.4	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E5RGS7]	protein_coding	ENSG00000248235
5	271736	353971	PDCD6	programmed cell death 6 [Source:HGNC Symbol;Acc:8765]	protein_coding	ENSG00000249915
7	30893010	30963427	AQP1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:K7N7A8]	protein_coding	ENSG00000250424
1	29445940	29450447	TMEM200B	transmembrane protein 200B [Source:HGNC Symbol;Acc:33785]	protein_coding	ENSG00000253304
8	9009252	9025646	RP11-10A14.4	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E5RH78]	protein_coding	ENSG00000253426
22	51007298	51021394	CHKB-CPT1B	CHKB-CPT1B readthrough (NMD candidate) [Source:HGNC Symbol;Acc:41998]	nonsense_mediated_decay	ENSG00000254413
11	2909010	2924970	SLC22A18AS	solute carrier family 22 (organic cation transporter), member 18 antisense [Source:HGNC Symbol;Acc:10965]	protein_coding	ENSG00000254827
12	58120054	58122139	AGAP2-AS1	AGAP2 antisense RNA 1 [Source:HGNC Symbol;Acc:48633]	protein_coding	ENSG00000255737
22	24666866	24838324	SPECC1L-ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate) [Source:HGNC Symbol;Acc:49185]	nonsense_mediated_decay	ENSG00000258555
16	30545548	30569600	AC002310.13	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H3BQ85]	protein_coding	ENSG00000260869
16	30537244	30546173	ZNF747	KRAB domain-containing protein ZNF747; Uncharacterized protein; cDNA FLJ54920, moderately similar to Homo sapiens zinc finger protein 689 (ZNF689), mRNA  [Source:UniProtKB/TrEMBL;Acc:B7Z5R0]	nonsense_mediated_decay	ENSG00000261459
17	79670401	79687569	SLC25A10	Mitochondrial dicarboxylate carrier; Uncharacterized protein; cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier  [Source:UniProtKB/TrEMBL;Acc:B4DLN1]	protein_coding	ENSG00000262660
11	6502715	6530208	TIMM10B	Fracture callus 1 homolog (Rat); cDNA FLJ11268 fis, clone PLACE1009186, highly similar to Mitochondrial import inner membrane translocase subunit Tim9B; cDNA, FLJ92024, Homo sapiens fracture callus 1 homolog (rat) (FXC1), mRNA  [Source:UniProtKB/TrEMBL;Acc:B2R4A9]	nonsense_mediated_decay	ENSG00000265264
17	73584139	73622929	MYO15B	myosin XVB pseudogene [Source:HGNC Symbol;Acc:14083]	protein_coding	ENSG00000266714
19	2717767	2740046	AC006538.4	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:K7EQS6]	protein_coding	ENSG00000267001
9	139638463	139642980	LCN6	lipocalin 6 [Source:HGNC Symbol;Acc:17337]	protein_coding	ENSG00000267206
19	58790332	58826563	AC010642.1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:K7EQD1]	nonsense_mediated_decay	ENSG00000267216
9	139219089	139219640	DKFZP434A062	HCG2022364; Putative uncharacterized protein DKFZp434A062; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9Y4N2]	protein_coding	ENSG00000267845
19	58740831	58798173	CTD-3138B18.4	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0QXA5]	nonsense_mediated_decay	ENSG00000269545
6	34256547	34393825	RPS10-NUDT3	RPS10-NUDT3 readthrough [Source:HGNC Symbol;Acc:49181]	protein_coding	ENSG00000270800
6	34247456	34360451	NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3 [Source:HGNC Symbol;Acc:8050]	protein_coding	ENSG00000272325
3	51994317	52008032	RP11-155D18.14	Poly(rC)-binding protein 4  [Source:UniProtKB/TrEMBL;Acc:C9JSA6]	protein_coding	ENSG00000272762
9	139685831	139695047	RP11-216L13.17		protein_coding	ENSG00000272896
19	58790318	58807254	ZNF8	zinc finger protein 8 [Source:HGNC Symbol;Acc:13154]	protein_coding	ENSG00000273439
